Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
pmlyzoan,polyzoan,polyzoan,"polyzoan, sporozoan, myzont",✅
alloucte,allocute,allocute,"allocute, alca, thallous",✅
onpremium,nonpremium,nonpremium,"nonpremium, unprecipitate, unpresupposed",✅
nuhammered,unhammered,unhammered,"unhammered, behammer, jackhammer",✅
trasappalachian,transappalachian,transappalachian,"transappalachian, transvaalian, brachiation",✅
cornvlia,cornelia,cornelia,"cornelia, cornflower, corn",✅
litterar,litterer,litterer,"litterer, gritter, bitted",✅
iperess,viperess,viperess,"viperess, oppressor, archeress",✅
dropbet,droplet,dropout,"dropout, droplet, grouplet",❌
lepidosirenid,lepidosirenoid,lepidosirenoid,"lepidosirenoid, lepidopter, lepidoptera",✅
edonucleolus,endonucleolus,endonucleolus,"endonucleolus, aculeolus, nucleolocentrosome",✅
pohlido,pholido,pholido,"pholido, hondo, potato",✅
pzramo,paramo,paramo,"paramo, uniramose, stramonium",✅
paratrichosis,paratrichosis,paratrichosis,"paratrichosis, parathesis, metempsychosis",✅
unrecognizijg,unrecognizing,unrecognizing,"unrecognizing, unreconciled, unregarded",✅
stuhk,stunk,stunk,"stunk, stummy, stubachite",✅
yhpotenusal,hypotenusal,hypotenusal,"hypotenusal, menopausal, phototonus",✅
vivek,vivek,vivek,"vivek, viver, lek",✅
rdiotelephony,radiotelephony,radiotelephony,"radiotelephony, cardiotrophotherapy, idioticon",✅
bituminsoid,bituminoid,bituminoid,"bituminoid, bitted, hinoid",✅
stringde,stringed,stringed,"stringed, strange, strontic",✅
ebxscind,exscind,exscind,"exscind, muscid, purblind",✅
noexpansively,nonexpansively,nonexpansively,"nonexpansively, expansivity, evasively",✅
cracklware,crackleware,crackleware,"crackleware, trackside, pebbleware",✅
acgalypha,acalypha,acalypha,"acalypha, apocryphally, lagomorpha",✅
maslevolent,malevolent,malevolent,"malevolent, volently, asclent",✅
unsepulghered,unsepulchered,unsepulchered,"unsepulchered, unspared, unsped",✅
transexperienqtial,transexperiential,transexperiential,"transexperiential, transiliency, transcension",✅
funndlform,funnelform,funnelform,"funnelform, foundling, tentiform",✅
spectropyromeetr,spectropyrometer,spectropyrometer,"spectropyrometer, spectrum, photospectroscopic",✅
centimieter,centimeter,centimeter,"centimeter, centiare, hematimeter",✅
unaniimty,unanimity,unanimity,"unanimity, unanimist, inanity",✅
blisa,beisa,balsa,"balsa, beisa, blip",❌
disphetal,dispetal,dispetal,"dispetal, dietal, postfetal",✅
aretmisic,artemisic,artemisic,"artemisic, anaretic, areopagitica",✅
trichechodot,trichechodont,trichechodont,"trichechodont, trichocarpous, trichogyne",✅
rme,rame,rame,"rame, carmen, stormer",✅
symblephron,symblepharon,symblepharon,"symblepharon, semble, paranephros",✅
tagrum,targum,labrum,"labrum, pantagruelian, targum",❌
infreqeuntly,infrequently,infrequently,"infrequently, infragrant, inframedian",✅
oed,moed,moed,"moed, bed, oenin",✅
intgrifolious,integrifolious,integrifolious,"integrifolious, paucifolious, intaglio",✅
omotsegite,omostegite,omostegite,"omostegite, misenite, monetite",✅
myelomenai,myelomenia,myelomenia,"myelomenia, myelospasm, orchiomyeloma",✅
ludicrospleanetic,ludicrosplenetic,ludicrosplenetic,"ludicrosplenetic, digenetic, diplanetism",✅
xinguistic,linguistic,linguistic,"linguistic, synclastic, schistic",✅
varyinlgy,varyingly,varyingly,"varyingly, gastralgy, varec",✅
ntihysteric,antihysteric,antihysteric,"antihysteric, oysterish, nonsystematic",✅
prtone,prone,peritoneal,"peritoneal, prone, protonymph",❌
ovefrall,overfall,overfall,"overfall, overmill, unthrall",✅
ejany,jeany,many,"many, jeany, ejaculatory",❌
holosriceous,holosericeous,holosericeous,"holosericeous, pilosebaceous, holotrichal",✅
anillean,antillean,antillean,"antillean, vanillon, achillea",✅
celiorehea,celiorrhea,celiorrhea,"celiorrhea, celiocentesis, melioration",✅
cthromatogenous,chromatogenous,chromatogenous,"chromatogenous, chromatinic, antherogenous",✅
coltractibly,contractibly,contractibly,"contractibly, distractibility, coercibly",✅
postar,postwar,postwar,"postwar, postbox, postfetal",✅
flacitn,flacian,flacian,"flacian, glaciation, flatly",✅
sprophile,saprophile,saprophile,"saprophile, saprophytic, psychrophile",✅
reevr,rever,reeve,"reeve, rever, revary",❌
phoptotonus,phototonus,phototonus,"phototonus, probonus, phytotomist",✅
cardipathy,cardiopathy,cardiopathy,"cardiopathy, cartbote, dissympathy",✅
usser,wusser,wusser,"wusser, compasser, dessert",✅
otaglia,otalgia,intaglio,"intaglio, otalgia, photointaglio",❌
unbefnded,unbended,unbended,"unbended, unbetrothed, unbell",✅
disprqnce,disprince,disprince,"disprince, dispractice, disperiwig",✅
awlantoinuria,allantoinuria,allantoinuria,"allantoinuria, manurial, uria",✅
gotihcizer,gothicizer,gothicizer,"gothicizer, cognizer, vitalizer",✅
fissciostate,fissicostate,fissicostate,"fissicostate, multicostate, fissipedia",✅
roisteping,roistering,roistering,"roistering, listening, homekeeping",✅
progymnosermous,progymnospermous,progymnospermous,"progymnospermous, progymnospermic, gymnotus",✅
antitdeist,antitheist,antitheist,"antitheist, antiatheist, antietam",✅
hypoist,hypocist,hypocist,"hypocist, hypophonic, hypoxanthic",✅
stitine,sittine,sittine,"sittine, sortition, hecatine",✅
tergitwic,tergitic,tergitic,"tergitic, telergical, sergius",✅
tripaane,triptane,triptane,"triptane, treebine, triplasic",✅
godn,gond,goddess,"goddess, goma, gond",❌
friolillo,frijolillo,frijolillo,"frijolillo, pililloo, frigidly",✅
cazrish,czarish,marish,"marish, czarish, ogrish",❌
cep,cep,cep,"cep, cyp, kop",✅
uncrievassed,uncrevassed,uncrevassed,"uncrevassed, uncoifed, uncuffed",✅
abadilla,sabadilla,sabadilla,"sabadilla, bobadil, abatable",✅
octopodos,octopodous,octopodous,"octopodous, octopi, octofid",✅
nolslaveholding,nonslaveholding,nonslaveholding,"nonslaveholding, yielding, nonlabeling",✅
toliless,toilless,toilless,"toilless, portless, taskless",✅
mylfeasance,malfeasance,malfeasance,"malfeasance, releasable, prefinance",✅
deolxygenization,deoxygenization,deoxygenization,"deoxygenization, crotonization, collodionization",✅
osteolgoer,osteologer,osteologer,"osteologer, osteoblast, rostel",✅
schiswtic,schistic,schistic,"schistic, scotistic, schizont",✅
apuplied,applied,applied,"applied, unimplied, untallied",✅
diaphanomecry,diaphanometry,diaphanometry,"diaphanometry, iconometry, trigonometry",✅
discoroprate,discorporate,discorporate,"discorporate, discoursively, sororate",✅
epitrichinl,epitrichial,epitrichial,"epitrichial, epidermical, epitaphic",✅
lutoerotism,autoerotism,autoerotism,"autoerotism, autoerotic, heteroerotic",✅
radixtelephony,radiotelephony,radiotelephony,"radiotelephony, radiatory, radiolite",✅
turinketry,trinketry,trinketry,"trinketry, tringa, trigonometry",✅
shrcoptid,sarcoptid,sarcoptid,"sarcoptid, preoptic, sarcotic",✅
bllie,billie,billie,"billie, willie, challie",✅
entophytiaclly,entophytically,entophytically,"entophytically, saprophytic, autophytography",✅
disamyed,dismayed,dismayed,"dismayed, disarmed, disarming",✅
brunnism,brunonism,brunonism,"brunonism, inrunning, henism",✅
pnhyperemia,panhyperemia,panhyperemia,"panhyperemia, paraphemia, hypergon",✅
bejammer,behammer,behammer,"behammer, bejazz, jackhammer",✅
ao,dao,dao,"dao, chao, parao",✅
kairne,kairine,kairine,"kairine, kate, kanred",✅
muharrm,muharram,muharram,"muharram, unharried, alarm",✅
actiqnoscopy,actinoscopy,actinoscopy,"actinoscopy, poroscopy, thoracoscopy",✅
underscrubby,undershrubby,undershrubby,"undershrubby, undersort, underservant",✅
unqershrubby,undershrubby,undershrubby,"undershrubby, shrubbish, undersort",✅
salivaory,salivatory,salivatory,"salivatory, palliatory, salvage",✅
carler,carter,carter,"carter, warless, cartel",✅
pomlyzoan,polyzoan,polyzoan,"polyzoan, sporozoan, pommy",✅
bikcorporal,bicorporal,bicorporal,"bicorporal, discorporate, corporately",✅
myocarkium,myocardium,myocardium,"myocardium, lanarkite, gynocardic",✅
coidsjunct,codisjunct,codisjunct,"codisjunct, interpunct, coinsurance",✅
ectognarha,ectognatha,ectognatha,"ectognatha, octogenarian, ectocarpous",✅
euuropasian,europasian,europasian,"europasian, russian, eurobin",✅
acueolus,aculeolus,aculeolus,"aculeolus, endonucleolus, peribolus",✅
suuurban,suburban,suburban,"suburban, surrebound, suum",✅
nectaied,nectaried,nectaried,"nectaried, connectable, neglectable",✅
unsacrificila,unsacrificial,unsacrificial,"unsacrificial, unsociably, unsecrecy",✅
forespeicfied,forespecified,forespecified,"forespecified, forested, foresheet",✅
mammxilliform,mammilliform,mammilliform,"mammilliform, veretilliform, bulliform",✅
armeopagitica,areopagitica,areopagitica,"areopagitica, tergitic, interpolitical",✅
vagil,vigil,vigil,"vigil, vagal, vaginopexy",✅
chanrtess,chantress,chantress,"chantress, chane, changeful",✅
cshoolmaid,schoolmaid,schoolmaid,"schoolmaid, submaid, shood",✅
ampibology,amphibology,amphibology,"amphibology, amphibola, penology",✅
oivoto,divoto,divoto,"divoto, photo, demivotary",✅
effqrvescingly,effervescingly,effervescingly,"effervescingly, uneffervescent, conducingly",✅
hycpergenetic,hypergenetic,hypergenetic,"hypergenetic, digenetic, venetic",✅
prepoen,preopen,preopen,"preopen, preponderously, prepositional",✅
qothropic,bothropic,bothropic,"bothropic, theanthropic, atropic",✅
oatsit,outsit,outsit,"outsit, outstair, autositic",✅
claxdosiphonic,cladosiphonic,cladosiphonic,"cladosiphonic, polysiphonia, hypophonic",✅
unoevrflowing,unoverflowing,unoverflowing,"unoverflowing, unoverclouded, merrywing",✅
plumulae,plumulate,plumulate,"plumulate, plumed, plus",✅
chemotropcally,chemotropically,chemotropically,"chemotropically, gamotropism, aetiotropically",✅
hadling,hidling,hidling,"hidling, pindling, foundling",✅
megallodactylous,megalodactylous,megalodactylous,"megalodactylous, platydactylous, dactylis",✅
specal,special,special,"special, speculist, speaklessly",✅
reqstiffness,restiffness,restiffness,"restiffness, rustiness, restifle",✅
phosphly,phosphyl,phosphyl,"phosphyl, phose, physiophilosopher",✅
fintale,finale,finale,"finale, finitude, finback",✅
teegonous,telegonous,telegonous,"telegonous, heterogonous, armisonous",✅
gentlheearted,gentlehearted,gentlehearted,"gentlehearted, gentilization, greathearted",✅
ingloriods,inglorious,inglorious,"inglorious, unglossiness, anglophobe",✅
uninteresetdness,uninterestedness,uninterestedness,"uninterestedness, unintoned, uninflectedness",✅
ezkere,tezkere,tezkere,"tezkere, whiskerette, cytomere",✅
zevasively,evasively,evasively,"evasively, nonexpansively, discoursively",✅
spdindleshanks,spindleshanks,spindleshanks,"spindleshanks, shanksman, spindlehead",✅
delination,declination,declination,"declination, deltation, desonation",✅
onijomania,oniomania,oniomania,"oniomania, micromania, phagomania",✅
fnctionless,functionless,functionless,"functionless, functionally, beaconless",✅
cowhedr,cowherd,cowherd,"cowherd, nowhence, cogwheel",✅
vitreodendtinal,vitreodentinal,vitreodentinal,"vitreodentinal, triactinal, trochodendron",✅
dulcetwly,dulcetly,dulcetly,"dulcetly, undulately, dicetyl",✅
imettin,limettin,limettin,"limettin, martin, chatting",✅
undereasure,undermeasure,undermeasure,"undermeasure, undersize, undersort",✅
warranted,warranted,warranted,"warranted, unchanted, barrandite",✅
unpicuresquely,unpicturesquely,unpicturesquely,"unpicturesquely, arabesquely, unstatuesque",✅
hctorean,hectorean,hectorean,"hectorean, berean, chorea",✅
phlianthes,polianthes,polianthes,"polianthes, photaesthesis, anthemy",✅
chianit,chianti,chianti,"chianti, hiant, chileanize",✅
frijidly,frigidly,frigidly,"frigidly, frijolillo, overidly",✅
incomparble,incomparable,incomparable,"incomparable, incommiscible, incommode",✅
iscarnate,incarnate,incarnate,"incarnate, carnaged, incardinate",✅
unquestionednsss,unquestionedness,unquestionedness,"unquestionedness, unclassableness, proportioned",✅
updright,upright,upright,"upright, undight, embright",✅
schisdtic,schistic,schistic,"schistic, scotistic, schizont",✅
xiazenithal,diazenithal,diazenithal,"diazenithal, labyrinthal, caliphal",✅
moonligfty,moonlighty,moonlighty,"moonlighty, unthrifty, moore",✅
scatophgoid,scatophagoid,scatophagoid,"scatophagoid, catostomid, myctophid",✅
nisocially,insocially,insocially,"insocially, antisocial, dissocial",✅
supernimpend,superimpend,superimpend,"superimpend, supernatation, superendow",✅
antwglare,antiglare,antiglare,"antiglare, antagony, antiqua",✅
magel,mangel,mangel,"mangel, kugel, imagery",✅
horolmetry,horometry,horometry,"horometry, orometry, chlorometry",✅
psteternity,posteternity,posteternity,"posteternity, asternata, finity",✅
parahprenitis,paraphrenitis,paraphrenitis,"paraphrenitis, tarsadenitis, dacryoadenitis",✅
iosspore,isospore,isospore,"isospore, teliospore, eusporangiate",✅
objecttee,objectee,objectee,"objectee, objectification, unobjected",✅
ackye,jackye,jackye,"jackye, lackeyed, acolyte",✅
rucervne,rucervine,rucervine,"rucervine, bucrane, uterocervical",✅
nubell,unbell,unbell,"unbell, harebell, pell",✅
thatcuhwork,thatchwork,thatchwork,"thatchwork, toothwork, featherwork",✅
afvonian,favonian,favonian,"favonian, dodonian, hudsonian",✅
csal,casal,casal,"casal, cuspal, salt",✅
pterotehca,pterotheca,pterotheca,"pterotheca, pteropodal, pteropegous",✅
neuironophagy,neuronophagy,neuronophagy,"neuronophagy, prasophagy, gamophagy",✅
gunsstick,gunstick,gunstick,"gunstick, crowstick, unclick",✅
scounterraid,counterraid,counterraid,"counterraid, countervair, counterword",✅
unealrnest,unearnest,unearnest,"unearnest, uneasy, blearness",✅
fittinggness,fittingness,fittingness,"fittingness, sittine, glaringness",✅
lveaner,leaner,leaner,"leaner, creancer, lane",✅
ultifibered,multifibered,multifibered,"multifibered, fiber, unfevered",✅
crteriology,criteriology,criteriology,"criteriology, phytobacteriology, paroemiology",✅
orpharoin,orpharion,orpharion,"orpharion, symblepharon, loin",✅
lanarkate,lanarkite,lanarkite,"lanarkite, kate, lanceolate",✅
unhegarded,unregarded,unregarded,"unregarded, unvizarded, unharried",✅
aeroosl,aerosol,aerosol,"aerosol, aerodonetic, aerocurve",✅
prenelegation,predelegation,predelegation,"predelegation, delegate, unelegant",✅
unlyign,unlying,unlying,"unlying, unloaned, unlaunched",✅
consond,consound,consound,"consound, consign, consignificant",✅
unmzendableness,unmendableness,unmendableness,"unmendableness, discommendableness, unusableness",✅
singlehandiedness,singlehandedness,singlehandedness,"singlehandedness, uncandidness, uninflectedness",✅
recqivilize,recivilize,recivilize,"recivilize, sucivilized, civil",✅
ngpi,ngapi,ngapi,"ngapi, bagpipes, taipi",✅
scopyist,copyist,copyist,"copyist, scopeless, scogginist",✅
kathful,oathful,oathful,"oathful, loathfulness, kate",✅
surpasisng,surpassing,surpassing,"surpassing, unsurpassable, europasian",✅
enzooic,enzootic,enzootic,"enzootic, heliozoic, nonanoic",✅
prerecial,prerecital,prerecital,"prerecital, predepreciate, special",✅
shcool,school,school,"school, wool, shachly",✅
guarnaieri,guarnieri,guarnieri,"guarnieri, guardianly, carnaged",✅
yiragua,piragua,piragua,"piragua, tragulus, hippotragus",✅
monostch,monostich,monostich,"monostich, monosporous, topnotch",✅
dacryagoue,dacryagogue,dacryagogue,"dacryagogue, dacryoadenitis, dactylis",✅
defendable,defendable,defendable,"defendable, undefendable, offendable",✅
isrleli,israeli,israeli,"israeli, purplelip, disciplelike",✅
casless,caseless,caseless,"caseless, taskless, warless",✅
suiffusedly,suffusedly,suffusedly,"suffusedly, usedly, triedly",✅
thayrona,tayrona,tayrona,"tayrona, myron, ona",✅
enlidsted,enlisted,enlisted,"enlisted, enlightened, wasted",✅
uncharactersitic,uncharacteristic,uncharacteristic,"uncharacteristic, unchariot, unchargeable",✅
loatfulness,loathfulness,loathfulness,"loathfulness, irefulness, wrongfulness",✅
stereoblaistula,stereoblastula,stereoblastula,"stereoblastula, osteoblast, stereotaxis",✅
unrperoachable,unreproachable,unreproachable,"unreproachable, unrepealable, unrippable",✅
cacado,cascado,cascado,"cascado, cacajao, sticcado",✅
celiomyomecpomy,celiomyomectomy,celiomyomectomy,"celiomyomectomy, celiorrhea, celiocentesis",✅
ppressor,oppressor,oppressor,"oppressor, preservable, unprofessorial",✅
htddenly,hiddenly,hiddenly,"hiddenly, puddening, benignly",✅
subfimish,sublimish,sublimish,"sublimish, subfrontal, sablefish",✅
griuft,grift,grift,"grift, gritter, grizzel",✅
antiodntalgic,antiodontalgic,antiodontalgic,"antiodontalgic, antietam, antidivine",✅
chondrofibromapous,chondrofibromatous,chondrofibromatous,"chondrofibromatous, chondropharyngeus, chondroclast",✅
isokveraunophonic,isokeraunophonic,isokeraunophonic,"isokeraunophonic, hypophonic, disulphonic",✅
